Command,Domain,SourceFile,HandlerType
atem.setUskFillSource,atem,atem.js,AsyncFunction
atem.setUskLumaSettings,atem,atem.js,AsyncFunction
atem.setUskMaskSettings,atem,atem.js,AsyncFunction
atem.setUskOnAir,atem,atem.js,AsyncFunction
atem.setUskPatternSettings,atem,atem.js,AsyncFunction
atem.setUskType,atem,atem.js,AsyncFunction
atem.setWipeTransitionSettings,atem,atem.js,AsyncFunction
atem.startFairlightSendLevels,atem,atem.js,AsyncFunction
atem.startRecording,atem,atem.js,AsyncFunction
atem.startStreaming,atem,atem.js,AsyncFunction
atem.stopFairlightSendLevels,atem,atem.js,AsyncFunction
atem.stopMacro,atem,atem.js,AsyncFunction
atem.stopRecording,atem,atem.js,AsyncFunction
atem.stopStreaming,atem,atem.js,AsyncFunction
atem.switchRecordingDisk,atem,atem.js,AsyncFunction
atem.uploadStill,atem,atem.js,AsyncFunction
blackmagic.getActivePlatform,blackmagic,encoder.js,AsyncFunction
blackmagic.getAudioSources,blackmagic,encoder.js,AsyncFunction
blackmagic.getPlatformConfig,blackmagic,encoder.js,AsyncFunction
blackmagic.getPlatforms,blackmagic,encoder.js,AsyncFunction
blackmagic.getSupportedVideoFormats,blackmagic,encoder.js,AsyncFunction
blackmagic.getVideoFormat,blackmagic,encoder.js,AsyncFunction
blackmagic.setActivePlatform,blackmagic,encoder.js,AsyncFunction
blackmagic.setAudioSource,blackmagic,encoder.js,AsyncFunction
blackmagic.setVideoFormat,blackmagic,encoder.js,AsyncFunction
camera.autoFocus,camera,camera.js,AsyncFunction
camera.autoIris,camera,camera.js,AsyncFunction
camera.autoWhiteBalance,camera,camera.js,AsyncFunction
camera.resetColorCorrection,camera,camera.js,AsyncFunction
camera.setColorGain,camera,camera.js,AsyncFunction
camera.setContrast,camera,camera.js,AsyncFunction
camera.setFocus,camera,camera.js,AsyncFunction
camera.setGain,camera,camera.js,AsyncFunction
camera.setGamma,camera,camera.js,AsyncFunction
camera.setIris,camera,camera.js,AsyncFunction
camera.setISO,camera,camera.js,AsyncFunction
camera.setLift,camera,camera.js,AsyncFunction
camera.setSaturation,camera,camera.js,AsyncFunction
camera.setShutter,camera,camera.js,AsyncFunction
camera.setWhiteBalance,camera,camera.js,AsyncFunction
companion.connections,companion,system.js,AsyncFunction
companion.getGrid,companion,system.js,AsyncFunction
companion.press,companion,system.js,AsyncFunction
companion.pressNamed,companion,system.js,AsyncFunction
dante.scene,dante,system.js,AsyncFunction
ecamm.getInputs,ecamm,encoder.js,AsyncFunction
ecamm.getOverlays,ecamm,encoder.js,AsyncFunction
ecamm.getScenes,ecamm,encoder.js,AsyncFunction
ecamm.nextScene,ecamm,encoder.js,AsyncFunction
ecamm.prevScene,ecamm,encoder.js,AsyncFunction
ecamm.setInput,ecamm,encoder.js,AsyncFunction
ecamm.setScene,ecamm,encoder.js,AsyncFunction
ecamm.toggleMute,ecamm,encoder.js,AsyncFunction
ecamm.togglePause,ecamm,encoder.js,AsyncFunction
ecamm.togglePIP,ecamm,encoder.js,AsyncFunction
encoder.startRecording,encoder,encoder.js,AsyncFunction
encoder.startStream,encoder,encoder.js,AsyncFunction
encoder.status,encoder,encoder.js,AsyncFunction
encoder.stopRecording,encoder,encoder.js,AsyncFunction
encoder.stopStream,encoder,encoder.js,AsyncFunction
epiphan.getLayouts,epiphan,encoder.js,AsyncFunction
epiphan.getStreamingParams,epiphan,encoder.js,AsyncFunction
epiphan.setActiveLayout,epiphan,encoder.js,AsyncFunction
epiphan.setStreamingParams,epiphan,encoder.js,AsyncFunction
epiphan.startPublisher,epiphan,encoder.js,AsyncFunction
epiphan.stopPublisher,epiphan,encoder.js,AsyncFunction
hyperdeck.goToClip,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.goToTimecode,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.jog,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.nextClip,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.play,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.prevClip,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.record,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.selectSlot,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.setPlaySpeed,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.status,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.stop,hyperdeck,hyperdeck.js,AsyncFunction
hyperdeck.stopRecord,hyperdeck,hyperdeck.js,AsyncFunction
mixer.activateMuteGroup,mixer,mixer.js,AsyncFunction
mixer.assignToBus,mixer,mixer.js,AsyncFunction
mixer.assignToDca,mixer,mixer.js,AsyncFunction
mixer.capabilities,mixer,mixer.js,Function
mixer.channelStatus,mixer,mixer.js,AsyncFunction
mixer.clearSolos,mixer,mixer.js,AsyncFunction
mixer.deactivateMuteGroup,mixer,mixer.js,AsyncFunction
mixer.getMeters,mixer,mixer.js,AsyncFunction
mixer.isOnline,mixer,mixer.js,AsyncFunction
mixer.mute,mixer,mixer.js,AsyncFunction
mixer.muteDca,mixer,mixer.js,AsyncFunction
mixer.pressSoftKey,mixer,mixer.js,AsyncFunction
mixer.recallScene,mixer,mixer.js,AsyncFunction
mixer.saveScene,mixer,mixer.js,AsyncFunction
mixer.setChannelColor,mixer,mixer.js,AsyncFunction
mixer.setChannelIcon,mixer,mixer.js,AsyncFunction
mixer.setChannelName,mixer,mixer.js,AsyncFunction
mixer.setCompressor,mixer,mixer.js,AsyncFunction
mixer.setDcaFader,mixer,mixer.js,AsyncFunction
mixer.setEq,mixer,mixer.js,AsyncFunction
mixer.setFader,mixer,mixer.js,AsyncFunction
mixer.setFullChannelStrip,mixer,mixer.js,AsyncFunction
mixer.setGate,mixer,mixer.js,AsyncFunction
mixer.setHpf,mixer,mixer.js,AsyncFunction
mixer.setPan,mixer,mixer.js,AsyncFunction
mixer.setPhantom,mixer,mixer.js,AsyncFunction
mixer.setPreampGain,mixer,mixer.js,AsyncFunction
mixer.setSendLevel,mixer,mixer.js,AsyncFunction
mixer.setupFromPatchList,mixer,mixer.js,AsyncFunction
mixer.status,mixer,mixer.js,AsyncFunction
mixer.unmute,mixer,mixer.js,AsyncFunction
mixer.unmuteDca,mixer,mixer.js,AsyncFunction
mixer.verifySceneSave,mixer,mixer.js,AsyncFunction
ndi.getSource,ndi,encoder.js,Function
ndi.setSource,ndi,encoder.js,Function
obs.configureMonitorStream,obs,obs.js,AsyncFunction
obs.getInputList,obs,obs.js,AsyncFunction
obs.getSceneItems,obs,obs.js,AsyncFunction
obs.getScenes,obs,obs.js,AsyncFunction
obs.getSourceFilters,obs,obs.js,AsyncFunction
obs.pauseRecording,obs,obs.js,AsyncFunction
obs.reduceBitrate,obs,obs.js,AsyncFunction
obs.resumeRecording,obs,obs.js,AsyncFunction
obs.setInputMute,obs,obs.js,AsyncFunction
obs.setInputVolume,obs,obs.js,AsyncFunction
obs.setPreviewScene,obs,obs.js,AsyncFunction
obs.setScene,obs,obs.js,AsyncFunction
obs.setSceneItemEnabled,obs,obs.js,AsyncFunction
obs.setSourceFilterEnabled,obs,obs.js,AsyncFunction
obs.setStudioMode,obs,obs.js,AsyncFunction
obs.setTransition,obs,obs.js,AsyncFunction
obs.setTransitionDuration,obs,obs.js,AsyncFunction
obs.startRecording,obs,obs.js,AsyncFunction
obs.startStream,obs,obs.js,AsyncFunction
obs.stopRecording,obs,obs.js,AsyncFunction
obs.stopStream,obs,obs.js,AsyncFunction
obs.toggleVirtualCam,obs,obs.js,AsyncFunction
preset.delete,preset,system.js,AsyncFunction
preset.list,preset,system.js,AsyncFunction
preset.recall,preset,system.js,AsyncFunction
preset.save,preset,system.js,AsyncFunction
preview.snap,preview,system.js,AsyncFunction
preview.start,preview,system.js,AsyncFunction
preview.stop,preview,system.js,AsyncFunction
propresenter.clearAll,propresenter,propresenter.js,AsyncFunction
propresenter.clearMessage,propresenter,propresenter.js,AsyncFunction
propresenter.clearSlide,propresenter,propresenter.js,AsyncFunction
propresenter.getLooks,propresenter,propresenter.js,AsyncFunction
propresenter.getTimers,propresenter,propresenter.js,AsyncFunction
propresenter.goToSlide,propresenter,propresenter.js,AsyncFunction
propresenter.isRunning,propresenter,propresenter.js,AsyncFunction
propresenter.messages,propresenter,propresenter.js,AsyncFunction
propresenter.next,propresenter,propresenter.js,AsyncFunction
propresenter.playlist,propresenter,propresenter.js,AsyncFunction
propresenter.previous,propresenter,propresenter.js,AsyncFunction
propresenter.setLook,propresenter,propresenter.js,AsyncFunction
propresenter.stageMessage,propresenter,propresenter.js,AsyncFunction
propresenter.startTimer,propresenter,propresenter.js,AsyncFunction
propresenter.status,propresenter,propresenter.js,AsyncFunction
propresenter.stopTimer,propresenter,propresenter.js,AsyncFunction
propresenter.version,propresenter,propresenter.js,AsyncFunction
ptz.autoFocus,ptz,ptz.js,AsyncFunction
ptz.autoWhiteBalance,ptz,ptz.js,AsyncFunction
ptz.backlightComp,ptz,ptz.js,AsyncFunction
ptz.focusFar,ptz,ptz.js,AsyncFunction
ptz.focusNear,ptz,ptz.js,AsyncFunction
ptz.focusStop,ptz,ptz.js,AsyncFunction
ptz.home,ptz,ptz.js,AsyncFunction
ptz.indoorWhiteBalance,ptz,ptz.js,AsyncFunction
ptz.manualFocus,ptz,ptz.js,AsyncFunction
ptz.onePushWb,ptz,ptz.js,AsyncFunction
ptz.outdoorWhiteBalance,ptz,ptz.js,AsyncFunction
ptz.pan,ptz,ptz.js,AsyncFunction
ptz.preset,ptz,ptz.js,AsyncFunction
ptz.setPreset,ptz,ptz.js,AsyncFunction
ptz.stop,ptz,ptz.js,AsyncFunction
ptz.tilt,ptz,ptz.js,AsyncFunction
ptz.zoom,ptz,ptz.js,AsyncFunction
resolume.clearAll,resolume,resolume.js,AsyncFunction
resolume.getBpm,resolume,resolume.js,AsyncFunction
resolume.getColumns,resolume,resolume.js,AsyncFunction
resolume.getLayers,resolume,resolume.js,AsyncFunction
resolume.isRunning,resolume,resolume.js,AsyncFunction
resolume.playClip,resolume,resolume.js,AsyncFunction
resolume.playClipByName,resolume,resolume.js,AsyncFunction
resolume.setBpm,resolume,resolume.js,AsyncFunction
resolume.setLayerOpacity,resolume,resolume.js,AsyncFunction
resolume.setMasterOpacity,resolume,resolume.js,AsyncFunction
resolume.status,resolume,resolume.js,AsyncFunction
resolume.stopClip,resolume,resolume.js,AsyncFunction
resolume.triggerColumn,resolume,resolume.js,AsyncFunction
resolume.triggerColumnByName,resolume,resolume.js,AsyncFunction
resolume.version,resolume,resolume.js,AsyncFunction
status,,system.js,Function
system.getServiceWindow,system,system.js,Function
system.preServiceCheck,system,system.js,AsyncFunction
system.setWatchdogMode,system,system.js,Function
videohub.getInputLabels,videohub,videohub.js,AsyncFunction
videohub.getOutputLabels,videohub,videohub.js,AsyncFunction
videohub.getRoutes,videohub,videohub.js,AsyncFunction
videohub.route,videohub,videohub.js,AsyncFunction
videohub.setInputLabel,videohub,videohub.js,AsyncFunction
videohub.setOutputLabel,videohub,videohub.js,AsyncFunction
vmix.audioLevels,vmix,vmix.js,AsyncFunction
vmix.cut,vmix,vmix.js,AsyncFunction
vmix.fade,vmix,vmix.js,AsyncFunction
vmix.fadeToBlack,vmix,vmix.js,AsyncFunction
vmix.function,vmix,vmix.js,AsyncFunction
vmix.isRunning,vmix,vmix.js,AsyncFunction
vmix.listInputs,vmix,vmix.js,AsyncFunction
vmix.mute,vmix,vmix.js,AsyncFunction
vmix.muteInput,vmix,vmix.js,AsyncFunction
vmix.overlayInput,vmix,vmix.js,AsyncFunction
vmix.overlayOff,vmix,vmix.js,AsyncFunction
vmix.preview,vmix,vmix.js,AsyncFunction
vmix.replay,vmix,vmix.js,AsyncFunction
vmix.setInputVolume,vmix,vmix.js,AsyncFunction
vmix.setPreview,vmix,vmix.js,AsyncFunction
vmix.setProgram,vmix,vmix.js,AsyncFunction
vmix.setText,vmix,vmix.js,AsyncFunction
vmix.setVolume,vmix,vmix.js,AsyncFunction
vmix.startPlaylist,vmix,vmix.js,AsyncFunction
vmix.startRecording,vmix,vmix.js,AsyncFunction
vmix.startStream,vmix,vmix.js,AsyncFunction
vmix.status,vmix,vmix.js,AsyncFunction
vmix.stopPlaylist,vmix,vmix.js,AsyncFunction
vmix.stopRecording,vmix,vmix.js,AsyncFunction
vmix.stopStream,vmix,vmix.js,AsyncFunction
vmix.unmute,vmix,vmix.js,AsyncFunction
vmix.unmuteInput,vmix,vmix.js,AsyncFunction
